Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PP Votos,PP Diputados,PSOE Votos,PSOE Diputados,PODEMOS-IU-EQUO Votos,PODEMOS-IU-EQUO Diputados,C's Votos,C's Diputados,ECP Votos,ECP Diputados,PODEMOS-COMPROMÍS-EUPV Votos,PODEMOS-COMPROMÍS-EUPV Diputados,ERC-CATSÍ Votos,ERC-CATSÍ Diputados,CDC Votos,CDC Diputados,PODEMOS-EN MAREA-ANOVA-EU Votos,PODEMOS-EN MAREA-ANOVA-EU Diputados,EAJ-PNV Votos,EAJ-PNV Diputados,EH Bildu Votos,EH Bildu Diputados,CCa-PNC Votos,CCa-PNC Diputados
Andalucía,4,Almería,"701,211",759,"452,954","38,542","491,496","2,409","307,216","1,773","308,989","306,674","304,461","2,213","2,315","131,801",3,"84,988",2,"40,578",0,"41,897",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,11,Cádiz,"1,240,284","1,483","967,509","26,180","993,689","2,610","620,231","2,021","622,252","615,755","608,817","6,938","6,497","198,876",3,"175,498",3,"130,643",2,"88,029",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,14,Córdoba,"795,611",902,"634,230","16,954","651,184","1,757","450,583","1,455","452,038","446,818","442,329","4,489","5,220","153,750",2,"139,281",2,"85,058",1,"55,248",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,18,Granada,"917,297","1,092","702,290","46,289","748,579","3,747","491,484","2,687","494,171","489,540","486,116","3,424","4,631","172,721",3,"151,445",2,"86,975",1,"66,000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,21,Huelva,"520,017",634,"389,332","6,785","396,117",718,"248,728",541,"249,269","245,819","243,293","2,526","3,450","81,959",2,"88,100",2,"40,023",1,"28,685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,23,Jaén,"654,170",899,"520,412","11,799","532,211","1,172","374,202",880,"375,082","370,762","368,217","2,545","4,320","131,234",2,"138,612",2,"53,239",1,"38,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,29,Málaga,"1,628,973","1,633","1,116,027","47,630","1,163,657","4,396","748,978","3,108","752,086","744,858","738,680","6,178","7,228","256,033",4,"201,444",3,"140,829",2,"121,294",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,41,Sevilla,"1,941,480","2,522","1,501,017","30,789","1,531,806","4,034","1,041,748","3,103","1,044,851","1,033,112","1,023,530","9,582","11,739","299,884",4,"347,470",4,"214,663",3,"138,086",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,22,Huesca,"222,909",393,"166,658","6,888","173,546",950,"117,306",712,"118,018","116,884","115,680","1,204","1,134","42,332",1,"29,915",1,"22,430",1,"17,934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,44,Teruel,"138,932",328,"104,805","4,575","109,380",452,"75,604",328,"75,932","74,922","74,218",704,"1,010","30,913",2,"19,724",1,"12,558",0,"9,871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,50,Zaragoza,"956,006","1,419","712,826","21,238","734,064","3,182","514,663","2,481","517,144","513,135","509,011","4,124","4,009","179,211",3,"125,321",2,"104,199",1,"86,434",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias,33,Asturias,"1,051,229","1,542","872,130","110,707","982,837","7,926","594,729","5,734","600,463","594,699","589,325","5,374","5,764","209,632",3,"147,920",2,"141,845",2,"74,961",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illes Balears ,7,Illes Balears,"1,104,479","1,182","749,065","23,874","772,939","1,741","468,747",690,"469,437","464,787","460,561","4,226","4,650","163,045",3,"93,363",2,"118,082",2,"67,700",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias,35,Las Palmas,"1,098,406","1,503","800,981","41,935","842,916","1,719","507,818","1,139","508,957","502,506","499,004","3,502","6,451","170,316",3,"119,351",2,"113,256",2,"65,172",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,982",0
Canarias,38,Santa Cruz de Tenerife,"1,001,900","1,259","734,608","98,765","833,373","2,790","480,682","1,243","481,925","476,666","473,883","2,783","5,259","163,129",3,"101,120",1,"85,178",1,"52,576",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,271",1
Cantabria,39,Cantabria,"585,179",718,"462,697","35,506","498,203","2,773","339,468","1,880","341,348","337,567","335,113","2,454","3,781","140,252",2,"79,407",1,"59,845",1,"48,626",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,2,Albacete,"394,580",517,"303,308","6,775","310,083",855,"221,057",649,"221,706","219,473","218,043","1,430","2,233","89,717",2,"59,617",1,"33,509",1,"31,976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,13,Ciudad Real,"513,713",708,"394,767","5,785","400,552",843,"281,987",647,"282,634","279,396","277,457","1,939","3,238","121,622",3,"81,728",2,"37,510",0,"33,126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,16,Cuenca,"203,841",386,"154,996","2,839","157,835",405,"116,898",220,"117,118","115,849","115,026",823,"1,269","53,004",2,"34,426",1,"15,263",0,"10,868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,19,Guadalajara,"253,686",515,"178,675","3,733","182,408",557,"132,460",443,"132,903","131,538","130,716",822,"1,365","52,047",2,"30,282",1,"23,884",0,"21,586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,45,Toledo,"693,371",901,"508,317","9,889","518,206","1,212","370,936",930,"371,866","367,503","365,529","1,974","4,363","159,521",3,"97,733",2,"53,994",1,"47,705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,5,Ávila,"164,925",352,"131,707","7,511","139,218",743,"99,558",548,"100,106","98,917","98,200",717,"1,189","50,931",2,"19,277",1,"12,527",0,"14,096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,9,Burgos,"364,002",717,"283,846","16,397","300,243","1,679","208,024","1,222","209,246","206,981","205,169","1,812","2,265","88,785",2,"45,724",1,"35,705",1,"30,361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,24,León,"479,395",729,"395,769","44,494","440,263","3,527","281,539","2,537","284,076","280,858","278,461","2,397","3,218","112,723",2,"73,681",1,"49,484",1,"35,870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,34,Palencia,"166,035",330,"136,792","6,977","143,769",676,"101,377",461,"101,838","100,626","99,788",838,"1,212","45,965",2,"24,751",1,"15,077",0,"12,428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,37,Salamanca,"339,395",639,"279,693","28,919","308,612","2,160","202,989","1,626","204,615","202,483","201,040","1,443","2,132","97,672",3,"43,252",1,"25,441",0,"31,878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,40,Segovia,"157,570",316,"117,810","3,013","120,823",400,"89,341",321,"89,662","88,525","87,910",615,"1,137","40,172",2,"19,014",1,"13,440",0,"13,595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,42,Soria,"91,006",247,"70,435","6,379","76,814",440,"49,994",343,"50,337","49,618","49,018",600,719,"22,264",1,"12,762",1,"7,599",0,"5,679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,47,Valladolid,"526,288",814,"420,467","12,589","433,056","1,954","317,723","1,557","319,280","315,768","313,534","2,234","3,512","132,026",2,"71,780",1,"51,637",1,"49,283",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León ,49,Zamora,"183,436",371,"154,088","19,232","173,320","1,285","109,330","1,009","110,339","108,893","107,883","1,010","1,446","52,555",2,"26,045",1,"15,403",0,"12,423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataluña,8,Barcelona,"5,523,922","5,873","3,971,665","159,654","4,131,319","17,194","2,647,828","11,990","2,659,818","2,643,933","2,622,852","21,081","15,885","357,759",4,"444,812",5,0,0,"305,075",4,"694,315",9,0,0,"438,126",5,"323,824",4,0,0,0,0,0,0,0,0
Cataluña,17,Girona,"753,054",824,"496,167","16,199","512,366","1,872","309,076","1,301","310,377","307,853","305,211","2,642","2,524","31,035",0,"38,558",1,0,0,"23,748",0,"53,277",1,0,0,"80,824",2,"71,453",2,0,0,0,0,0,0,0,0
Cataluña,25,Lleida,"436,029",534,"298,140","15,067","313,207","1,390","181,914",995,"182,909","181,159","179,003","2,156","1,750","24,503",1,"22,533",0,0,0,"12,592",0,"30,182",1,0,0,"45,525",1,"40,985",1,0,0,0,0,0,0,0,0
Cataluña,43,Tarragona,"795,101","1,002","547,591","15,399","562,990","1,897","346,668","1,193","347,861","344,620","341,560","3,060","3,241","51,241",1,"53,967",1,0,0,"39,082",1,"75,328",1,0,0,"67,759",1,"47,226",1,0,0,0,0,0,0,0,0
Extremadura,6,Badajoz,"686,730",856,"547,516","10,712","558,228","1,148","382,107",874,"382,981","377,949","375,230","2,719","5,032","149,603",3,"133,392",2,"47,182",1,"40,417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extremadura,10,Cáceres,"406,267",514,"333,686","15,396","349,082","1,316","238,668","1,067","239,735","236,205","234,666","1,539","3,530","95,419",2,"78,767",2,"33,164",0,"24,343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galicia ,15,A Coruña,"1,127,196","1,537","934,015","153,457","1,087,472","8,734","645,236","5,829","651,065","643,389","636,696","6,693","7,676","257,855",4,"139,973",2,0,0,"60,347",0,0,0,0,0,0,0,0,0,"148,566",2,0,0,0,0,0,0
Galicia ,27,Lugo,"339,386",555,"284,712","63,849","348,561","3,030","194,379","1,893","196,272","192,957","190,869","2,088","3,315","91,516",2,"45,796",1,0,0,"13,343",0,0,0,0,0,0,0,0,0,"32,752",1,0,0,0,0,0,0
Galicia ,32,Ourense,"318,391",548,"266,056","98,413","364,469","4,713","185,688","2,874","188,562","186,177","184,650","1,527","2,385","92,539",3,"43,429",1,0,0,"13,133",0,0,0,0,0,0,0,0,0,"29,136",0,0,0,0,0,0,0
Galicia ,36,Pontevedra,"947,374","1,341","773,158","128,075","901,233","7,712","546,856","4,906","551,762","544,673","540,255","4,418","7,089","208,921",3,"118,816",2,0,0,"48,302",0,0,0,0,0,0,0,0,0,"137,088",2,0,0,0,0,0,0
Comunidad de Madrid,28,Madrid,"6,436,996","6,530","4,662,855","265,077","4,927,932","36,005","3,462,738","26,638","3,489,376","3,465,795","3,447,658","18,137","23,581","1,325,665",15,"678,340",7,"737,885",8,"616,503",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comunidad Foral de Navarra ,31,Navarra,"640,476",958,"477,733","24,797","502,530","2,102","337,187","1,533","338,720","335,335","331,867","3,468","3,385","106,976",2,"58,173",1,"94,972",2,"20,505",0,0,0,0,0,0,0,0,0,0,0,0,0,"31,374",0,0,0
País Vasco ,1,Araba - Álava,"323,648",413,"248,520","6,059","254,579",763,"168,752",579,"169,331","167,640","166,562","1,078","1,691","34,276",1,"26,381",1,"51,827",1,"8,372",0,0,0,0,0,0,0,0,0,0,0,"26,703",1,"15,858",0,0,0
País Vasco ,20,Gipuzkoa,"716,834",839,"554,983","25,723","580,706","3,511","364,696","2,768","367,464","365,493","362,782","2,711","1,971","35,312",0,"51,449",1,"104,566",2,"11,683",0,0,0,0,0,0,0,0,0,0,0,"85,015",2,"69,828",1,0,0
País Vasco ,48,Bizkaia,"1,148,775","1,343","911,455","36,625","948,080","3,371","623,139","2,305","625,444","621,219","617,312","3,907","4,225","78,965",1,"86,425",1,"179,347",3,"20,685",0,0,0,0,0,0,0,0,0,0,0,"175,296",2,"67,653",1,0,0
Región de Murcia,30,Murcia,"1,467,288","1,638","1,005,154","28,921","1,034,075","2,875","717,146","2,390","719,536","713,592","709,879","3,713","5,944","333,109",5,"144,937",2,"103,522",1,"111,961",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Rioja,26,La Rioja,"317,053",480,"232,902","14,768","247,670","1,201","173,996",917,"174,913","172,982","171,757","1,225","1,931","73,708",2,"42,010",1,"28,772",1,"24,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comunitat Valenciana,3,Alicante / Alacant,"1,855,047","2,197","1,220,110","33,186","1,253,296","3,599","879,862","2,739","882,601","875,169","870,331","4,838","7,432","329,628",5,"187,484",2,0,0,"138,517",2,0,0,"193,263",3,0,0,0,0,0,0,0,0,0,0,0,0
Comunitat Valenciana,12,Castellón / Castelló,"582,327",706,"408,418","8,073","416,491","1,140","301,416",908,"302,324","299,204","297,135","2,069","3,120","106,746",2,"66,062",1,0,0,"44,121",1,0,0,"72,281",1,0,0,0,0,0,0,0,0,0,0,0,0
Comunitat Valenciana,46,Valencia / València,"2,543,315","2,862","1,891,413","54,633","1,946,046","6,628","1,426,764","5,079","1,431,843","1,419,521","1,411,013","8,508","12,322","482,855",6,"285,732",3,0,0,"205,489",2,0,0,"394,227",5,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad de Ceuta ,51,Ceuta,"84,263",93,"59,125","2,462","61,587",182,"31,093",101,"31,194","30,837","30,521",316,357,"15,991",1,"6,974",0,"3,345",0,"3,549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad de Melilla,52,Melilla,"85,584",78,"53,307","4,488","57,795",163,"27,373",110,"27,483","27,121","26,853",268,362,"13,522",1,"6,805",0,"2,667",0,"3,352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0